track_name,artist_name,cluster
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,6
The Joker And The Queen (feat. Taylor Swift),Taylor Swift,6
Zo Zijn,sor,1
Options (feat. 24kGoldn),Internet Money,0
Options (feat. 24kGoldn),24kGoldn,0
Bitterzoet,BLØF,0
Zoveel Takkies,Josylvio,1
Sometimes,DubVision,0
Sometimes,The Him,0
Ik Huil Nooit,Bob uit Zuid,2
Who’s Gonna Be The GOAT?,De Staat,3
Khabib,Central Cee,1
Je Blik Richting Mij,Bankzitters,0
Don't Forget My Love,Diplo,3
Don't Forget My Love,Miguel,3
Invincible,Eddie Vedder,3
Boyfriend,Dove Cameron,9
City of Gods,Fivio Foreign,1
City of Gods,Kanye West,1
City of Gods,Alicia Keys,1
The Actor,alt-J,0
MIJ ZIJN,Mula B,1
Bussin,Nicki Minaj,0
Bussin,Lil Baby,0
Too Soon,Loupe,0
Laat De Wereld Maar Draaien,Sterre Koning,6
Laat De Wereld Maar Draaien,Waylon,6
Here With Me (feat. Anderson .Paak),Mary J. Blige,1
Here With Me (feat. Anderson .Paak),Anderson .Paak,1
20s,Bow Anderson,1
CORNFLAKES,Zwangere Guy,1
CORNFLAKES,Hef,1
Close to you,Eva Simons,3
Season Of Your Dreams,Douwe Bob,7
2am,Foals,3
Diet Coke,Pusha T,1
Verlaat,Jairzinho,1
Zwemmen in de discotheek,Shary-An,0
Zeker Niet De Laatste,John West,0
Zeker Niet De Laatste,Wolter Kroes,0
Worst Day,Future,1
Fear Of The Dawn,Jack White,2
Waardeer Je,Adje,1
Waardeer Je,Reverse,1
Waardeer Je,Cor,1
Waardeer Je,Giniio,1
Niet Thuis,Yss,0
Niet Thuis,Cristian D,0
"What, Me Worry?",Portugal. The Man,0
Don't Fade,Vance Joy,6
My Valentine,Michael Bublé,9
Wavy,Quessswho,2
Wavy,Damico,2
Wavy,Burleson,2
Closer (feat. H.E.R.),Saweetie,0
Closer (feat. H.E.R.),H.E.R.,0
Calm Down,Rema,0
Voorgoed Voorbij,Yves Berendse,2
S.U.V. (feat. Bokoesam),Jacin Trill,3
S.U.V. (feat. Bokoesam),Bokoesam,3
Past Bij Mij,Jean Jacques,1
Past Bij Mij,Yung Felix,1
Family Names,Afterpartees,2
Growing on Me,Foxes,0
Enough,DARKER,0
mona lisa,mxmtoon,0
Hero,Janieck,0
Heartlands,Paulusma,6
Heartlands,De Troubadours,6
Use Me,Ruben Anthony,4
Oh to Be Loved by You,Joss Stone,0
Q4,Father John Misty,3
Deal With It,Pearl Ramos,6
Marte,Sofía Reyes,0
Marte,Maria Becerra,0
Focus,GOSTO,3
Focus,Someone,3
25/8,Cautious Clay,0
What's for Dinner?,Tusky,2
Amiri Op Amiri (feat. 3robi),MRD,0
Amiri Op Amiri (feat. 3robi),3robi,0
Nothing Good Comes Easy,Felix Cartal,7
Nothing Good Comes Easy,Elohim,7
She Should Be Here,Katie Kittermaster,6
Mijn Only (feat. Jayh),Stanley Clementina,2
Mijn Only (feat. Jayh),Jayh,2
Sitting Up,Spacey Jane,0
Short Way Home,Jennifer Ewbank,6
Sway,Lufthaus,3
Here For You,Wilkinson,2
Here For You,Becky Hill,2
Like This,Merk & Kremont,3
Like This,Too Many Zooz,3
Dat Ik Op Je Wacht,Terry,0
Meio,Zuco 103,0
Hate Me If It Helps,Alexander 23,1
My Babe,Spoon,6
Angels In Disguise,Certain Animals,3
Darling,Kempi,1
Darling,Drayson Gashi,1
Slut Pop,Kim Petras,0
Walk Me Home,Said The Sky,9
Walk Me Home,ILLENIUM,9
Walk Me Home,Chelsea Cutler,9
if i wasn't made for love,néomí,6
Cry,Cat & Calmell,7
Sweet Home,SYML,6
take me home,Lena Hessels,3
Abbronzatissima,VINAI,0
Abbronzatissima,HÄWK,0
Ik Moet Door,Massi,1
i h8 that i still feel bad for u,Claire Rosinkranz,0
When You Lose Someone,Nina Nesbitt,6
Falling For You,Sarah - Jane,1
Ga Niet Weg,Jasper,6
Te Quiero (feat. Marioo),Rayvanny,0
Te Quiero (feat. Marioo),Marioo,0
It Never Mattered Anyway (feat. George Gleeson),Justin Prime,0
It Never Mattered Anyway (feat. George Gleeson),Axity,0
It Never Mattered Anyway (feat. George Gleeson),Walter Alan,0
It Never Mattered Anyway (feat. George Gleeson),George Gleeson,0
Hologram,CHARLOT,6
We Rise - Single Edit,The Gathering,6
Deja Vu,JU-LIA,6
Kicks (feat. Brysa),Woody,1
Kicks (feat. Brysa),Brysa,1
Likkle Darling,Lady Leshurr,1
Put Your Lips On Mine,Twan Ray,1
Put Your Lips On Mine,Kimotion,1
Put Your Lips On Mine,Solar State,1
Mr Valentine,YAZ,1
Stay Alive (Prod. SUGA of BTS),Jung Kook,3
The Lighthouse,The Wanderer ,6
Holes,Blanko,0
Could You Tell Me,Barmuda,1
Flower Souls,Eelke,3
Summertime Vibes (feat. Kirsa Moonlight),Mocean,6
Summertime Vibes (feat. Kirsa Moonlight),Kirsa Moonlight,6
"S.M.S. ""Save My Soul""",vAn,0
DEAR,Sofiane Pamart,5
Heat Waves,Glass Animals,0
abcdefu,GAYLE,0
STAY (with Justin Bieber),The Kid LAROI,2
STAY (with Justin Bieber),Justin Bieber,2
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,1
Enemy (with JID) - from the series Arcane League of Legends,JID,1
Enemy (with JID) - from the series Arcane League of Legends,Arcane,1
Enemy (with JID) - from the series Arcane League of Legends,League of Legends,1
Cold Heart - PNAU Remix,Elton John,0
Cold Heart - PNAU Remix,Dua Lipa,0
Cold Heart - PNAU Remix,PNAU,0
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0
INDUSTRY BABY (feat. Jack Harlow),Jack Harlow,0
Easy On Me,Adele,6
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,2
We Don't Talk About Bruno,Mauro Castillo,2
We Don't Talk About Bruno,Adassa,2
We Don't Talk About Bruno,Rhenzy Feliz,2
We Don't Talk About Bruno,Diane Guerrero,2
We Don't Talk About Bruno,Stephanie Beatriz,2
We Don't Talk About Bruno,Encanto - Cast,2
Brividi,Mahmood,6
Brividi,BLANCO,6
Shivers,Ed Sheeran,0
Desesperados,Rauw Alejandro,0
Desesperados,Chencho Corleone,0
Infinity,Jaymes Young,0
THATS WHAT I WANT,Lil Nas X,0
Pepas,Farruko,0
Woman,Doja Cat,0
pushin P (feat. Young Thug),Gunna,4
pushin P (feat. Young Thug),Future,4
pushin P (feat. Young Thug),Young Thug,4
Bad Habits,Ed Sheeran,0
Do It To It,ACRAZE,0
Do It To It,Cherish,0
Ghost,Justin Bieber,7
My Universe,Coldplay,0
My Universe,BTS,0
I Love You So,The Walters,6
good 4 u,Olivia Rodrigo,2
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Bad Bunny,2
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Julieta Venegas,2
Where Are You Now,Lost Frequencies,6
Where Are You Now,Calum Scott,6
Light Switch,Charlie Puth,1
Yonaguni,Bad Bunny,2
Cigarettes,Juice WRLD,2
The Motto,Tiësto,0
The Motto,Ava Max,0
Kiss Me More (feat. SZA),Doja Cat,0
Kiss Me More (feat. SZA),SZA,0
Need to Know,Doja Cat,6
"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,1
Blinding Lights,The Weeknd,2
Toxic,BoyWithUke,1
Sweater Weather,The Neighbourhood,3
Sacrifice,The Weeknd,0
Fingers Crossed,Lauren Spencer-Smith,6
Mon Amour - Remix,zzoilo,3
Mon Amour - Remix,Aitana,3
traitor,Olivia Rodrigo,6
Moth To A Flame (with The Weeknd),Swedish House Mafia,3
Moth To A Flame (with The Weeknd),The Weeknd,3
Oh My God,Adele,0
MONTERO (Call Me By Your Name),Lil Nas X,2
Softcore,The Neighbourhood,0
she's all i wanna be,Tate McRae,2
love nwantiti (ah ah ah),CKay,0
Ginseng Strip 2002,Yung Lean,7
Super Gremlin,Kodak Black,1
Levitating (feat. DaBaby),Dua Lipa,0
Levitating (feat. DaBaby),DaBaby,0
Do We Have A Problem?,Nicki Minaj,1
Do We Have A Problem?,Lil Baby,1
Happier Than Ever,Billie Eilish,9
Beggin',Måneskin,0
Am I The Same Girl,Barbara Acklin,0
Take Me To The River,Al Green,0
He's Misstra Know-It-All,Stevie Wonder,0
