track_name,artist_name,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Loser,3 Doors Down,1aC1IBAETh2XYGOE8kCC6t,0.493,0.88,-6.424,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,4
Hanging by a Moment,Lifehouse,0wqOReZDnrefefEsrIGeR4,0.541,0.864,-4.915,0.0357,0.00118,0.0,0.0896,0.435,124.557,4
Kryptonite,3 Doors Down,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4
Otherside,Red Hot Chili Peppers,64BbK9SFKH2jk86U3dGj2P,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
Hemorrhage (In My Hands),Fuel,1sjrDQXqAa9V07FjKIlAQ4,0.301,0.823,-4.072,0.0433,0.000144,0.000309,0.0833,0.372,152.017,4
Butterfly,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502,4
With Arms Wide Open,Creed,0eKyHwckh9vQb8ncZ2DXCs,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852,4
Drive,Incubus,7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,4
Why Pt. 2,Collective Soul,7ldnttFcRZRgfLSNmDbSSg,0.668,0.647,-4.946,0.0813,0.0284,0.000349,0.134,0.747,121.628,3
Last Resort,Papa Roach,5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.201,0.692,90.598,4
Awake,Godsmack,6xXlurslWqFuyqTCBlErzX,0.395,0.756,-4.12,0.0544,1.74e-05,0.00665,0.319,0.475,112.092,4
Outside,Aaron Lewis,6eSrE9uc8oqyxXMfzdbZMC,0.358,0.429,-9.569,0.0337,0.801,0.000176,0.975,0.202,145.482,4
Rollin' (Air Raid Vehicle),Limp Bizkit,3IV4swNduIRunHREK80owz,0.603,0.933,-3.358,0.171,0.00591,0.0,0.206,0.709,96.306,4
